Gene Name	fr	rf	star
ALMS1P1	2	2	0
ALOX12	8	8	8
ALOX12-AS1	78	78	206
ALOX12B	0	0	0
ALOX12P1	0	0	0
ALOX12P2	50	50	247
ALOX15	5	5	6
ALOX15B	2	2	2
ALOX15P1	1	1	0
ALOX15P2	2	2	2
ALOX5	0	0	0
ALOX5AP	12	12	13
ALOXE3	0	0	0
ALOXE3P1	0	0	0
ALPG	0	0	0
ALPI	0	0	0
ALPK1	51	51	60
ALPK2	32	32	42
ALPK3	4	4	14
ALPL	17	17	18
ALPP	0	0	0
ALS2	50	50	50
ALS2CL	0	0	1
ALX1	0	0	7
ALX3	0	0	2
ALX4	4	4	27
ALYREF	22	22	22
AMACR	2	2	4
AMBN	16	16	5
AMBP	11	11	11
AMBRA1	28	25	8
AMD1	101	101	152
AMD1P1	0	0	0
AMD1P2	0	0	0
AMD1P3	1	1	1
AMD1P4	0	0	0
AMDHD1	6	5	9
AMDHD2	0	0	0
AMELX	0	0	0
AMELY	2	2	75
AMER1	3	3	3
AMER2	10	10	21
AMER3	0	0	0
AMFR	111	111	120
AMH	0	0	0
AMHR2	0	0	0
AMIGO1	0	0	0
AMIGO2	0	0	2
AMIGO3	0	0	0
AMMECR1	298	300	313
AMMECR1L	6	6	6
AMMECR1LP1	0	0	0
AMN	0	0	0
AMN1	13	13	14
AMOT	29	29	29
AMOTL1	24	24	24
AMOTL2	2	2	2
AMPD1	3	2	129
AMPD2	0	0	0
AMPD3	51	51	53
AMPH	0	0	0
AMT	2	2	0
AMTN	2	0	0
AMY1A	1	2	0
AMY1B	2	2	0
AMY1C	2	2	2
AMY2A	0	0	0
AMY2B	18	18	23
AMYP1	0	0	0
AMZ1	0	0	0
AMZ2	93	93	94
AMZ2P1	30	30	30
AMZ2P2	0	0	0
AMZ2P3	0	0	0
ANAPC1	50	42	52
ANAPC10	8	5	8
ANAPC10P1	5	9	14
ANAPC11	27	27	77
ANAPC13	11	11	11
ANAPC15	46	46	46
ANAPC15P1	0	0	0
ANAPC15P2	0	0	0
ANAPC16	184	184	196
ANAPC1P1	6	10	14
ANAPC1P2	53	40	43
ANAPC1P3	0	0	0
ANAPC1P4	0	3	0
ANAPC1P5	1	1	0
ANAPC1P6	1	1	0
ANAPC2	0	0	0
ANAPC4	48	48	48
ANAPC5	122	122	308
ANAPC7	19	19	19
ANCV1RP	0	0	0
ANG	0	0	0
ANGEL1	6	6	7
ANGEL2	15	15	15
ANGPT1	2	2	2
ANGPT2	27	27	140
ANGPT4	0	0	0
ANGPTL1	16	16	16
ANGPTL2	0	0	0
ANGPTL3	1	1	0
ANGPTL4	0	0	0
