Gene Name	fr	rf	star
ALG11	0	0	0
ALG12	11	11	11
ALG13	22	25	22
ALG14	0	0	0
ALG14-AS1	0	0	1
ALG1L	1	1	2
ALG1L10P	0	0	0
ALG1L11P	0	0	1
ALG1L12P	0	0	1
ALG1L13P	11	6	0
ALG1L15P	0	0	0
ALG1L2	0	0	0
ALG1L3P	0	0	0
ALG1L5P	1	1	2
ALG1L6P	0	0	0
ALG1L7P	0	0	2
ALG1L8P	0	0	0
ALG1L9P	1	1	0
ALG2	11	11	11
ALG3	0	0	0
ALG3P1	0	0	0
ALG5	0	0	0
ALG6	27	26	19
ALG8	51	51	52
ALG9	15	15	16
ALK	0	0	0
ALKAL1	0	0	1
ALKAL2	0	0	0
ALKBH1	0	0	0
ALKBH2	6	6	6
ALKBH3	0	0	2
ALKBH3-AS1	0	0	1
ALKBH4	0	0	0
ALKBH5	94	94	72
ALKBH6	0	0	0
ALKBH7	24	24	24
ALKBH8	39	39	163
ALLC	0	0	0
ALMS1	70	71	11
ALMS1-IT1	0	0	0
ALMS1P1	4	2	0
ALOX12	32	32	32
ALOX12-AS1	35	35	39
ALOX12B	7	7	1
ALOX12P1	0	0	1
ALOX12P2	1	1	3
ALOX15	0	0	0
ALOX15B	11	11	12
ALOX15P1	1	1	0
ALOX15P2	0	0	0
ALOX5	0	0	30
ALOX5AP	18	18	19
ALOXE3	0	0	0
ALOXE3P1	0	0	0
ALPG	0	0	0
ALPI	0	0	0
ALPK1	27	31	30
ALPK2	27	29	35
ALPK3	1	1	1
ALPL	28	28	28
ALPP	0	0	0
ALS2	1	1	0
ALS2CL	0	0	2
ALX1	0	0	0
ALX3	0	1	1
ALX4	2	2	4
ALYREF	0	0	0
AMACR	0	0	0
AMBN	2	3	0
AMBP	5	6	3
AMBRA1	39	39	56
AMD1	83	83	82
AMD1P1	0	0	0
AMD1P2	0	0	0
AMD1P3	0	0	0
AMD1P4	0	0	0
AMDHD1	1	1	4
AMDHD2	0	0	0
AMELX	0	0	3
AMELY	4	4	5
AMER1	7	2	12
AMER2	1	1	1
AMER3	0	0	0
AMFR	36	36	25
AMH	0	0	1
AMHR2	0	0	0
AMIGO1	0	0	0
AMIGO2	6	6	6
AMIGO3	0	0	0
AMMECR1	42	44	69
AMMECR1L	12	11	12
AMMECR1LP1	0	0	0
AMN	0	0	0
AMN1	15	15	17
AMOT	37	37	37
AMOTL1	35	35	36
AMOTL2	30	30	30
AMPD1	1	1	3
AMPD2	20	20	13
AMPD3	43	42	35
AMPH	0	0	0
AMT	49	26	16
AMTN	0	0	1
AMY1A	1	1	0
AMY1B	0	4	0
AMY1C	1	1	0
AMY2A	0	17	0
AMY2B	56	36	27
AMYP1	1	1	1
AMZ1	0	0	0
AMZ2	11	11	11
AMZ2P1	24	24	24
AMZ2P2	0	0	0
AMZ2P3	0	0	0
ANAPC1	13	12	0
ANAPC10	24	24	6
ANAPC10P1	1	1	0
ANAPC11	29	29	29
ANAPC13	72	72	72
ANAPC15	8	8	9
ANAPC15P1	0	0	0
ANAPC15P2	0	0	0
ANAPC16	239	240	224
ANAPC1P1	6	4	6
ANAPC1P2	14	15	2
ANAPC1P3	0	0	0
ANAPC1P4	7	5	2
ANAPC1P5	7	8	0
ANAPC1P6	0	0	0
ANAPC2	0	0	0
