,Gene Name,SGI75460067_x,SGI75460067_y,SGI75460068,SGI75460075,SGI75460076,SGI75460103,SGI75460104
247,ACSM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,ACSM5,0.002116,0.002116,0.002116,0.002116,0.002116,0.002116,0.002116
249,ACSM5P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,ACSM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,ACSS1,0.041563,0.041563,0.041563,0.041563,0.041563,0.041563,0.041563
252,ACSS2,0.048498,0.048498,0.048498,0.048498,0.048498,0.048498,0.048498
253,ACSS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,ACTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,ACTA2,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267,0.00267
256,ACTA2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,ACTB,49.239987,49.239987,49.239987,49.239987,49.239987,49.239987,49.239987
258,ACTBL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,ACTBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,ACTBP10,0.000148,0.000148,0.000148,0.000148,0.000148,0.000148,0.000148
261,ACTBP11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,ACTBP12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,ACTBP14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,ACTBP15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,ACTBP2,0.030705,0.030705,0.030705,0.030705,0.030705,0.030705,0.030705
266,ACTBP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,ACTBP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,ACTBP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,ACTBP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,ACTBP8,0.00237,0.00237,0.00237,0.00237,0.00237,0.00237,0.00237
271,ACTBP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,ACTC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,ACTE1P,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.7e-05
274,ACTG1,6.419148,6.419148,6.419148,6.419148,6.419148,6.419148,6.419148
275,ACTG1P1,0.004061,0.004061,0.004061,0.004061,0.004061,0.004061,0.004061
276,ACTG1P10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,ACTG1P11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,ACTG1P12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,ACTG1P13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,ACTG1P14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,ACTG1P15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,ACTG1P16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,ACTG1P17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,ACTG1P18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,ACTG1P19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,ACTG1P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,ACTG1P20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,ACTG1P21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,ACTG1P22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,ACTG1P23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,ACTG1P24,0.016007,0.016007,0.016007,0.016007,0.016007,0.016007,0.016007
292,ACTG1P25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,ACTG1P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,ACTG1P4,0.000639,0.000639,0.000639,0.000639,0.000639,0.000639,0.000639
295,ACTG1P9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,ACTG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,ACTL10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,ACTL11P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,ACTL6A,0.009907,0.009907,0.009907,0.009907,0.009907,0.009907,0.009907
300,ACTL6B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,ACTL7A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,ACTL7B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,ACTL8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,ACTL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,ACTN1,0.417876,0.417876,0.417876,0.417876,0.417876,0.417876,0.417876
306,ACTN1-DT,0.000661,0.000661,0.000661,0.000661,0.000661,0.000661,0.000661
307,ACTN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,ACTN3,0.000108,0.000108,0.000108,0.000108,0.000108,0.000108,0.000108
309,ACTN4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,ACTN4P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,ACTP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,ACTR10,0.206353,0.206353,0.206353,0.206353,0.206353,0.206353,0.206353
313,ACTR1A,0.143119,0.143119,0.143119,0.143119,0.143119,0.143119,0.143119
314,ACTR1AP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,ACTR1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,ACTR2,0.109435,0.109435,0.109435,0.109435,0.109435,0.109435,0.109435
317,ACTR3,1.677398,1.677398,1.677398,1.677398,1.677398,1.677398,1.677398
318,ACTR3-AS1,0.001571,0.001571,0.001571,0.001571,0.001571,0.001571,0.001571
319,ACTR3B,0.123629,0.123629,0.123629,0.123629,0.123629,0.123629,0.123629
320,ACTR3BP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,ACTR3BP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,ACTR3BP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,ACTR3BP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,ACTR3BP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,ACTR3BP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,ACTR3BP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,ACTR3C,0.008164,0.008164,0.008164,0.008164,0.008164,0.008164,0.008164
328,ACTR3P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,ACTR3P2,0.013354,0.013354,0.013354,0.013354,0.013354,0.013354,0.013354
330,ACTR3P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,ACTR5,0.018822,0.018822,0.018822,0.018822,0.018822,0.018822,0.018822
332,ACTR6,0.005054,0.005054,0.005054,0.005054,0.005054,0.005054,0.005054
333,ACTR6P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,ACTR8,0.112685,0.112685,0.112685,0.112685,0.112685,0.112685,0.112685
335,ACTRT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,ACTRT1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,ACTRT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,ACTRT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
