Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
miRNA	MIR4252	SGI75460104	23303	MIR4252	0	0.0	MIR4252	0	0.0
miRNA	MIR4253	SGI75460104	23302	MIR4253	0	0.0	MIR4253	0	0.0
miRNA	MIR4254	SGI75460104	23301	MIR4254	0	0.0	MIR4254	0	0.0
miRNA	MIR4255	SGI75460104	23300	MIR4255	0	0.0	MIR4255	0	0.0
miRNA	MIR4256	SGI75460104	23299	MIR4256	0	0.0	MIR4256	0	0.0
miRNA	MIR4257	SGI75460104	23298	MIR4257	0	0.0	MIR4257	0	0.0
miRNA	MIR4258	SGI75460104	23297	MIR4258	0	0.0	MIR4258	0	0.0
miRNA	MIR4259	SGI75460104	23296	MIR4259	0	0.0	MIR4259	0	0.0
miRNA	MIR4260	SGI75460104	23295	MIR4260	0	0.0	MIR4260	0	0.0
miRNA	MIR4261	SGI75460104	23294	MIR4261	0	0.0	MIR4261	0	0.0
miRNA	MIR4262	SGI75460104	23293	MIR4262	0	0.0	MIR4262	0	0.0
miRNA	MIR4263	SGI75460104	23292	MIR4263	0	0.0	MIR4263	0	0.0
miRNA	MIR4264	SGI75460104	23291	MIR4264	0	0.0	MIR4264	0	0.0
miRNA	MIR4265	SGI75460104	23290	MIR4265	0	0.0	MIR4265	0	0.0
miRNA	MIR4266	SGI75460104	23289	MIR4266	0	0.0	MIR4266	0	0.0
miRNA	MIR4267	SGI75460104	23288	MIR4267	0	0.0	MIR4267	0	0.0
miRNA	MIR4268	SGI75460104	23287	MIR4268	0	0.0	MIR4268	0	0.0
miRNA	MIR4269	SGI75460104	23286	MIR4269	0	0.0	MIR4269	0	0.0
miRNA	MIR4270	SGI75460104	23285	MIR4270	0	0.0	MIR4270	0	0.0
miRNA	MIR4271	SGI75460104	23284	MIR4271	0	0.0	MIR4271	0	0.0
miRNA	MIR4272	SGI75460104	23283	MIR4272	0	0.0	MIR4272	0	0.0
miRNA	MIR4273	SGI75460104	23282	MIR4273	0	0.0	MIR4273	0	0.0
miRNA	MIR4274	SGI75460104	23281	MIR4274	0	0.0	MIR4274	0	0.0
miRNA	MIR4275	SGI75460104	23280	MIR4275	0	0.0	MIR4275	0	0.0
miRNA	MIR4276	SGI75460104	23279	MIR4276	0	0.0	MIR4276	0	0.0
miRNA	MIR4277	SGI75460104	23278	MIR4277	0	0.0	MIR4277	0	0.0
miRNA	MIR4278	SGI75460104	23277	MIR4278	0	0.0	MIR4278	0	0.0
miRNA	MIR4279	SGI75460104	23276	MIR4279	0	0.0	MIR4279	0	0.0
