Gene Name	fr	rf	star
AHI1	6	6	6
AHI1-DT	47	47	93
AHNAK	652	648	656
AHNAK2	2	2	3
AHR	29	29	28
AHRR	74	75	82
AHSA1	46	46	46
AHSA2P	224	224	1582
AHSG	0	0	2
AHSP	437	437	444
AICDA	0	0	0
AIDA	207	222	166
AIDAP1	0	0	0
AIDAP2	0	0	0
AIDAP3	0	0	0
AIF1	0	0	271
AIF1L	39	39	45
AIFM1	19	19	26
AIFM1P1	0	0	0
AIFM2	0	0	2
AIFM3	0	0	3
AIG1	230	230	564
AIG1P1	0	0	0
AIM2	15	15	16
AIMP1	37	37	37
AIMP1P1	0	0	0
AIMP1P2	0	0	0
AIMP2	0	0	0
AIP	63	63	64
AIPL1	12	12	41
AIRE	0	0	0
AIRN	0	0	1
AJAP1	0	0	0
AJM1	0	0	0
AJUBA	0	0	0
AK1	1	1	1
AK2	59	67	75
AK2P1	6	2	0
AK2P2	0	0	0
AK3	19	19	22
AK3P2	0	0	0
AK3P3	0	0	0
AK3P4	0	0	0
AK3P5	0	0	0
AK3P6	1	1	4
AK4	1	1	0
AK4P1	0	0	0
AK4P2	0	0	0
AK4P3	1	1	0
AK4P4	0	0	0
AK4P5	0	0	0
AK4P6	0	0	0
AK5	0	0	0
AK6	10	17	35
AK7	5	5	5
AK8	0	0	0
AK9	18	18	18
AKAIN1	2	2	9
AKAP1	4	4	5
AKAP10	57	57	57
AKAP11	101	101	108
AKAP12	48	48	48
AKAP13	97	97	126
AKAP14	2	2	34
AKAP17A	0	0	0
AKAP17A_1	0	0	0
AKAP17BP	0	0	0
AKAP3	10	10	10
AKAP4	2	2	3
AKAP5	2	2	2
AKAP6	0	0	0
AKAP7	52	52	64
AKAP8	22	22	25
AKAP8L	13	15	16
AKAP8P1	0	0	0
AKAP9	70	71	45
AKIP1	0	0	0
AKIRIN1	18	18	74
AKIRIN1P1	0	0	0
AKIRIN1P2	0	0	0
AKIRIN2	24	24	25
AKIRIN2P1	0	0	0
AKNA	138	138	156
AKNAD1	1	1	2
AKR1A1	8	8	9
AKR1B1	38	38	38
AKR1B10	0	0	0
AKR1B10P1	11	11	11
AKR1B10P2	0	0	0
