		Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
SGI75460068	44860	ACP6	20	1.435883253788991	ACP6	22	1.9470258516357453
SGI75460068	44859	ACP7	0	0.0	ACP7	0	0.0
SGI75460068	44858	ACR	0	0.0	ACR	0	0.0
SGI75460068	44857	ACRBP	179	12.851155121411468	ACRBP	220	19.47025851635745
SGI75460068	44856	ACRP1	1	0.0717941626894495	ACRP1	1	0.088501175074352
SGI75460068	44855	ACRV1	0	0.0	ACRV1	1	0.088501175074352
SGI75460068	44854	ACSBG1	0	0.0	ACSBG1	104	9.204122207732611
SGI75460068	44853	ACSBG2	0	0.0	ACSBG2	0	0.0
SGI75460068	44852	ACSF2	1	0.0717941626894495	ACSF2	0	0.0
SGI75460068	44851	ACSF3	0	0.0	ACSF3	0	0.0
SGI75460068	44850	ACSL1	270	19.38442392615137	ACSL1	259	22.92180434425718
SGI75460068	44849	ACSL3	54	3.876884785230276	ACSL3	53	4.690562278940658
SGI75460068	44848	ACSL4	613	44.009821728632566	ACSL4	570	50.44566979238066
SGI75460068	44847	ACSL5	48	3.446119809093578	ACSL5	53	4.690562278940658
SGI75460068	44846	ACSL6	361	25.91769273089129	ACSL6	661	58.4992767241467
SGI75460068	44845	ACSM1	0	0.0	ACSM1	0	0.0
SGI75460068	44844	ACSM2A	35	2.512795694130734	ACSM2A	21	1.8585246765613928
SGI75460068	44843	ACSM2B	66	4.738414737503669	ACSM2B	0	0.0
SGI75460068	44842	ACSM3	31	2.2256190433729355	ACSM3	16	1.4160188011896329
SGI75460068	44841	ACSM4	27	1.9384423926151375	ACSM4	102	9.027119857583909
SGI75460068	44840	ACSM5	81	5.815327177845412	ACSM5	123	10.8856445341453
SGI75460068	44839	ACSM5P1	0	0.0	ACSM5P1	2	0.1770023501487041
SGI75460068	44838	ACSM6	0	0.0	ACSM6	0	0.0
SGI75460068	44837	ACSS1	37	2.6563840195096327	ACSS1	35	3.097541127602322
SGI75460068	44836	ACSS2	35	2.512795694130734	ACSS2	0	0.0
SGI75460068	44835	ACSS3	4	0.2871766507577982	ACSS3	0	0.0
SGI75460068	44834	ACTA1	0	0.0	ACTA1	2	0.1770023501487041
SGI75460068	44833	ACTA2	33	2.3692073687518347	ACTA2	149	13.186675086078454
SGI75460068	44832	ACTA2-AS1	6	0.4307649761366972	ACTA2-AS1	6	0.5310070504461123
SGI75460068	44831	ACTB	20243	1453.329235322527	ACTB	20416	1806.839990317972
SGI75460068	44830	ACTBL2	0	0.0	ACTBL2	0	0.0
SGI75460068	44829	ACTBP1	0	0.0	ACTBP1	0	0.0
SGI75460068	44828	ACTBP10	0	0.0	ACTBP10	0	0.0
SGI75460068	44827	ACTBP11	0	0.0	ACTBP11	8	0.7080094005948164
SGI75460068	44826	ACTBP12	0	0.0	ACTBP12	2	0.1770023501487041
SGI75460068	44825	ACTBP14	0	0.0	ACTBP14	0	0.0
SGI75460068	44824	ACTBP15	0	0.0	ACTBP15	0	0.0
SGI75460068	44823	ACTBP2	12	0.8615299522733945	ACTBP2	3	0.2655035252230561
SGI75460068	44822	ACTBP3	0	0.0	ACTBP3	0	0.0
SGI75460068	44821	ACTBP4	0	0.0	ACTBP4	2	0.1770023501487041
SGI75460068	44820	ACTBP6	0	0.0	ACTBP6	2	0.1770023501487041
SGI75460068	44819	ACTBP7	0	0.0	ACTBP7	0	0.0
SGI75460068	44818	ACTBP8	0	0.0	ACTBP8	0	0.0
SGI75460068	44817	ACTBP9	0	0.0	ACTBP9	0	0.0
SGI75460068	44816	ACTC1	0	0.0	ACTC1	0	0.0
SGI75460068	44815	ACTE1P	7	0.5025591388261468	ACTE1P	43	3.805550528197138
SGI75460068	44814	ACTG1	3115	223.63881677763533	ACTG1	1206	106.73241713966856
SGI75460068	44813	ACTG1P1	0	0.0	ACTG1P1	0	0.0
SGI75460068	44812	ACTG1P10	0	0.0	ACTG1P10	5	0.4425058753717602
SGI75460068	44811	ACTG1P11	0	0.0	ACTG1P11	0	0.0
SGI75460068	44810	ACTG1P12	0	0.0	ACTG1P12	0	0.0
SGI75460068	44809	ACTG1P13	0	0.0	ACTG1P13	0	0.0
SGI75460068	44808	ACTG1P14	0	0.0	ACTG1P14	0	0.0
SGI75460068	44807	ACTG1P15	0	0.0	ACTG1P15	0	0.0
