Gene Name,TPM,count,cpm
ADGRA3P1,0.0,0.0,0.0
ADGRB1,0.0,0.0,0.0
ADGRB2,0.00048,1.0,0.11840490594151082
ADGRB3,0.001955,99.0,11.722085688209571
ADGRB3-DT,0.0,0.0,0.0
ADGRD1,0.003339,2.0,0.23680981188302164
ADGRD1-AS1,0.0,0.0,0.0
ADGRD2,0.0,0.0,0.0
ADGRE1,0.329716,69.0,8.169938509964247
ADGRE2,0.022485,11.0,1.3024539653566192
ADGRE3,0.08253,13.0,1.5392637772396407
ADGRE4P,5.3e-05,1.0,0.11840490594151082
ADGRE5,0.126922,46.0,5.446625673309497
ADGRF1,0.0,0.0,0.0
ADGRF2,0.006708,19.0,2.2496932128887055
ADGRF3,0.0,0.0,0.0
ADGRF4,0.00052,1.0,0.11840490594151082
ADGRF5,0.003695,2.0,0.23680981188302164
ADGRF5-AS1,0.0,0.0,0.0
ADGRF5P1,0.0,0.0,0.0
ADGRF5P2,0.0,0.0,0.0
ADGRG1,0.148135,44.0,5.209815861426477
ADGRG2,0.0,0.0,0.0
ADGRG3,0.023671,5.0,0.592024529707554
ADGRG4,0.0,0.0,0.0
ADGRG5,0.0,0.0,0.0
ADGRG6,0.004243,2.0,0.23680981188302164
ADGRG7,0.0,0.0,0.0
ADGRL1,0.0,0.0,0.0
ADGRL1-AS1,0.003544,9.0,1.0656441534735972
ADGRL2,0.090178,49.0,5.80184039113403
ADGRL3,0.0,0.0,0.0
ADGRL3-AS1,0.003893,24.0,2.8417177425962596
ADGRL4,0.008494,67.0,7.933128698081225
ADGRV1,0.0,0.0,0.0
ADH1A,0.012369,13.0,1.5392637772396407
ADH1B,0.023716,26.0,3.0785275544792814
ADH1C,0.0,0.0,0.0
ADH4,0.0,0.0,0.0
ADH5,0.069807,83.0,9.827607193145397
ADH5P2,0.0,0.0,0.0
ADH5P3,0.0,0.0,0.0
ADH5P4,0.045801,8.0,0.9472392475320865
ADH5P5,0.0,0.0,0.0
ADH6,0.023827,27.0,3.196932460420792
ADH7,0.0,0.0,0.0
ADHFE1,0.008672,22.0,2.6049079307132383
ADI1,0.01549,23.0,2.7233128366547485
ADI1P1,0.055998,8.0,0.9472392475320865
ADI1P2,0.0,0.0,0.0
ADI1P3,0.0,0.0,0.0
ADIG,0.0,0.0,0.0
ADIPOQ,0.003047,4.0,0.4736196237660433
ADIPOQ-AS1,0.0,0.0,0.0
ADIPOR1,7.972082,1114.0,131.90306521884304
ADIPOR1P1,0.0,0.0,0.0
ADIPOR1P2,0.010391,1.0,0.11840490594151082
ADIPOR2,0.0,0.0,0.0
ADIRF,0.033311,6.0,0.7104294356490649
ADIRF-AS1,0.002158,1.0,0.11840490594151082
ADK,0.148215,20.0,2.368098118830216
ADM,0.0,0.0,0.0
ADM2,0.0,0.0,0.0
ADM5,0.0,0.0,0.0
ADNP,0.349214,156.0,18.47116532687569
ADNP-AS1,0.002188,3.0,0.35521471782453246
ADNP2,0.152849,53.0,6.275460014900074
ADO,0.199646,51.0,6.038650203017052
ADORA1,0.0,0.0,0.0
ADORA2A,0.00082,2.0,0.23680981188302164
ADORA2A-AS1,0.001802,8.0,0.9472392475320865
ADORA2B,0.0,0.0,0.0
ADORA2BP1,0.0,0.0,0.0
ADORA3,0.111682,32.0,3.788956990128346
ADPGK,0.027064,6.0,0.7104294356490649
ADPGK-AS1,0.000351,1.0,0.11840490594151082
ADPRH,0.003052,1.0,0.11840490594151082
ADPRHL1,0.112636,24.0,2.8417177425962596
ADPRM,0.019506,19.0,2.2496932128887055
ADPRS,0.58493,65.0,7.696318886198203
ADRA1A,0.0,0.0,0.0
ADRA1B,0.0,0.0,0.0
ADRA1D,0.000657,2.0,0.23680981188302164
ADRA2A,0.002009,1.0,0.11840490594151082
ADRA2B,0.0,0.0,0.0
ADRA2C,0.0,0.0,0.0
ADRB1,0.001374,1.0,0.11840490594151082
ADRB2,0.058975,8.0,0.9472392475320865
ADRB3,0.0,0.0,0.0
ADRM1,0.453881,45.0,5.328220767367986
ADSL,0.108422,32.0,3.788956990128346
ADSS1,0.0,0.0,0.0
ADSS2,0.190152,35.0,4.144171707952879
ADTRP,0.0,0.0,0.0
AEBP1,0.003415,1.0,0.11840490594151082
AEBP2,0.152366,60.0,7.104294356490649
AEN,0.047688,10.0,1.184049059415108
AFAP1,0.018357,11.0,1.3024539653566192
AFAP1-AS1,0.0,0.0,0.0
AFAP1L1,0.078033,32.0,3.788956990128346
AFAP1L2,0.108309,30.0,3.5521471782453244
AFDN,0.119184,62.0,7.341104168373671
AFDN-DT,0.0,0.0,0.0
AFF1,0.466689,284.0,33.62699328738907
AFF1-AS1,0.01387,10.0,1.184049059415108
AFF2,0.002937,98.0,11.60368078226806
AFF3,0.061813,42.0,4.9730060495434545
AFF4,0.146849,94.0,11.130061158502016
AFG1L,0.131273,45.0,5.328220767367986
AFG3L1P,0.001562,3.0,0.35521471782453246
AFG3L2,0.031368,7.0,0.8288343415905757
AFG3L2P1,0.00225,4.0,0.4736196237660433
AFM,0.0,0.0,0.0
AFMID,0.044296,6.0,0.7104294356490649
AFP,0.0,0.0,0.0
AFTPH,0.04737,218.0,25.812269495249357
AFTPH-DT,0.0,0.0,0.0
AGA,0.0,0.0,0.0
AGAP1,0.048767,36.0,4.262576613894389
AGAP1-IT1,0.0,0.0,0.0
AGAP10P,0.001299,2.0,0.23680981188302164
AGAP11,0.00243,7.0,0.8288343415905757
AGAP12P,2.6e-05,1.0,0.11840490594151082
AGAP13P,0.003741,6.0,0.7104294356490649
AGAP14P,0.00193,3.0,0.35521471782453246
AGAP2,0.020209,8.0,0.9472392475320865
AGAP2-AS1,0.0,0.0,0.0
AGAP3,0.0,0.0,0.0
AGAP4,0.000561,2.0,0.23680981188302164
AGAP5,0.001522,3.0,0.35521471782453246
AGAP6,0.000361,1.0,0.11840490594151082
AGAP7P,0.007943,12.0,1.4208588712981298
AGAP9,0.0,0.0,0.0
AGBL1,0.0,0.0,0.0
AGBL1-AS1,0.0,0.0,0.0
AGBL2,0.002322,9.0,1.0656441534735972
AGBL3,0.0,0.0,0.0
AGBL4,0.0,0.0,0.0
AGBL4-AS1,0.001496,2.0,0.23680981188302164
AGBL4-IT1,0.001998,14.0,1.6576686831811513
AGBL5,0.0,0.0,0.0
AGBL5-AS1,0.0,0.0,0.0
AGER,0.0,0.0,0.0
AGFG1,0.03272,56.0,6.630674732724605
AGFG2,0.010576,4.0,0.4736196237660433
AGGF1,0.039959,93.0,11.011656252560506
AGGF1P1,0.0,0.0,0.0
AGGF1P10,0.0,0.0,0.0
AGGF1P2,0.0,0.0,0.0
AGGF1P3,0.000763,1.0,0.11840490594151082
AGGF1P4,0.0,0.0,0.0
AGGF1P5,0.0,0.0,0.0
AGGF1P6,0.001826,1.0,0.11840490594151082
AGGF1P7,0.0,0.0,0.0
AGGF1P8,0.0,0.0,0.0
AGGF1P9,0.0,0.0,0.0
AGK,0.0,0.0,0.0
AGKP1,0.0,0.0,0.0
AGKP2,0.0,0.0,0.0
AGL,0.01591,8.0,0.9472392475320865
AGMAT,0.0,0.0,0.0
AGMO,0.0,0.0,0.0
AGO1,0.045782,42.0,4.9730060495434545
AGO2,0.237899,232.0,27.46993817843051
AGO3,0.0,0.0,0.0
AGO4,0.08344,41.0,4.854601143601943
AGPAT1,0.011398,8.0,0.9472392475320865
AGPAT2,0.025467,3.0,0.35521471782453246
AGPAT3,0.156413,69.0,8.169938509964247
AGPAT4,0.00319,31.0,3.6705520841868355
AGPAT4-IT1,0.0,0.0,0.0
AGPAT5,0.011105,4.0,0.4736196237660433
AGPAT5P1,0.0,0.0,0.0
AGPS,0.189857,97.0,11.48527587632655
AGR2,0.0,0.0,0.0
AGR3,0.0,0.0,0.0
AGRN,0.0,0.0,0.0
AGRP,0.0,0.0,0.0
AGT,0.000869,3.0,0.35521471782453246
AGTPBP1,0.9340390000000001,280.0,33.15337366362303
AGTR1,0.000297,1.0,0.11840490594151082
AGTR2,0.0,0.0,0.0
AGTRAP,0.0,0.0,0.0
